Element,Family,Total_Concentration
Er,Zingiberaceae,0.00108
Eu,Agaricaceae,0.027790000000000002
Eu,Amaranthaceae,0.0608
Eu,Amaryllidaceae,0.00116
Eu,Anacardiaceae,0.005588
Eu,Arecaceae,0.000846
Eu,Asteraceae,0.3030035
Eu,Blechnaceae,3.28
Eu,Brassicaceae,0.20387
Eu,Caricaceae,0.013053
Eu,Convolvulaceae,0.557396
Eu,Cucurbitaceae,0.56066
Eu,Cyperaceae,922.0
Eu,Dioscoreaceae,6.99e-05
Eu,Ericaceae,0.089
Eu,Euphorbiaceae,0.40478200000000003
Eu,Fabaceae,0.45717179999999996
Eu,Gleicheniaceae,820.08
Eu,Malvaceae,0.7566098
Eu,Melastomataceae,37.0
Eu,Moraceae,0.0205
Eu,Moringaceae,0.9426100000000001
Eu,Musaceae,0.0006338
Eu,Myrtaceae,0.002191
Eu,Phyllanthaceae,0.0016610000000000001
Eu,Pinaceae,0.054
Eu,Poaceae,1.0799422
Eu,Polypodiaceae,1.03
Eu,Proteaceae,7.97e-05
Eu,Pteridaceae,2.05
Eu,Rhamnaceae,0.002221
Eu,Rosaceae,0.0792
Eu,Rutaceae,0.00145
Eu,Solanaceae,0.015424
Eu,Theaceae,0.1009
Eu,Thelypteridaceae,1.39
Eu,Unknown,2.417144
Eu,Various,0.7336
Eu,Zingiberaceae,0.000456
Fe,Acanthaceae,1253.99
Fe,Achariaceae,8.0
Fe,Agaricaceae,4422.0
Fe,Amaranthaceae,15809.61
Fe,Amaryllidaceae,962.0
Fe,Anacardiaceae,2339.31
Fe,Anisophylleaceae,4.3
Fe,Annonaceae,6.0
Fe,Apiaceae,13744.88
Fe,Apocynaceae,1328.46
Fe,Araceae,8310.0
Fe,Araliaceae,6010.0
Fe,Arecaceae,648.3000000000001
Fe,Aristolochiaceae,2695.0
Fe,Asparagaceae,326.93
Fe,Asphodelaceae,34.2
Fe,Asteraceae,26120.25
Fe,Athyriaceae,5600.0
Fe,Basellaceae,344.7
Fe,Berberidaceae,58.79
Fe,Bignoniaceae,538.86
Fe,Bixaceae,0.06
Fe,Blechnaceae,2106.0
Fe,Boraginaceae,349.45000000000005
Fe,Brassicaceae,12837.23
Fe,Bromeliaceae,936.75
Fe,Burseraceae,6.8
Fe,Cactaceae,135.18
Fe,Cannabaceae,744.13
Fe,Capparaceae,105.0
Fe,Caricaceae,143.1
Fe,Caryophyllaceae,10625.0
Fe,Chrysobalanaceae,2.6
Fe,Cistaceae,175.0
Fe,Clusiaceae,493.6
Fe,Combretaceae,1086.21
Fe,Commelinaceae,1159.2
Fe,Convolvulaceae,7067.74
Fe,Cucurbitaceae,27193.13
Fe,Cunoniaceae,662.0
Fe,Cyperaceae,171.25
Fe,Dennstaedtiaceae,5.7
Fe,Dioscoreaceae,291.2
Fe,Droseraceae,3914.0
Fe,Ebenaceae,165.43
Fe,Elaeagnaceae,2360.0
Fe,Elaeocarpaceae,1510.0
Fe,Ephedraceae,217.0
Fe,Equisetaceae,229.29
Fe,Ericaceae,347.58
Fe,Euphorbiaceae,10025.81
Fe,Fabaceae,30548.15
Fe,Fagaceae,1170.92
Fe,Gnetaceae,250.0
Fe,Hydnoraceae,1426.0
Fe,Hylocomiaceae,2640.0
Fe,Juglandaceae,166.49
Fe,Lamiaceae,35266.44
Fe,Lauraceae,3292.65
Fe,Lecythidaceae,150.3
Fe,Loganiaceae,4.2
Fe,Lythraceae,810.4
Fe,Malvaceae,20146.1
Fe,Melastomataceae,38.2
Fe,Meliaceae,641.5899999999999
Fe,Moraceae,214.6
Fe,Moringaceae,8877.34
Fe,Musaceae,5263.6
Fe,Myrtaceae,823.74
Fe,Nitrariaceae,449.0
Fe,Olacaceae,24.2
Fe,Oleaceae,601.53
Fe,Ophioglossaceae,96.1
Fe,Orchidaceae,73.5
Fe,Oxalidaceae,167.0
Fe,Papaveraceae,1723.77
Fe,Passifloraceae,358.4
Fe,Pedaliaceae,770.0
Fe,Phyllanthaceae,861.9
Fe,Pinaceae,1881.5
Fe,Piperaceae,294.9
Fe,Plantaginaceae,2432.0
Fe,Poaceae,58639.5
Fe,Polygonaceae,3179.7
Fe,Pontederiaceae,3690.0
Fe,Portulacaceae,9.32
Fe,Primulaceae,413.8
Fe,Proteaceae,306.8
Fe,Ranunculaceae,986.6
Fe,Rhamnaceae,236.2
Fe,Rosaceae,5114.01
Fe,Rubiaceae,1007.3
Fe,Rutaceae,1569.6399999999999
Fe,Salicaceae,9580.11
Fe,Salvadoraceae,25.0
Fe,Santalaceae,151.3
Fe,Sapindaceae,1587.05
Fe,Sapotaceae,4705.1
Fe,Scrophulariaceae,266.12
Fe,Smilacaceae,299.2
Fe,Solanaceae,7587.110000000001
Fe,Tamaricaceae,46.0
Fe,Theaceae,286.9
Fe,Unknown,80770.15
Fe,Urticaceae,13100.0
Fe,Various,53036.454
Fe,Verbenaceae,145.81
Fe,Violaceae,2985.0
Fe,Zingiberaceae,393.9
Fe,Zygophyllaceae,1837.69
Ga,Agaricaceae,0.2435
Ga,Amaranthaceae,0.2169
Ga,Amaryllidaceae,0.00501
Ga,Anacardiaceae,0.0246
Ga,Arecaceae,0.00701
Ga,Asteraceae,0.9619300000000001
Ga,Brassicaceae,0.8447
Ga,Caricaceae,0.009405
Ga,Convolvulaceae,1.382571
Ga,Cucurbitaceae,2.2905335
Ga,Euphorbiaceae,1.73783
Ga,Fabaceae,2.6007525
Ga,Lamiaceae,14.6
Ga,Malvaceae,1.3032299999999999
Ga,Moraceae,0.0458
Ga,Moringaceae,1.691
Ga,Musaceae,0.004626
Ga,Myrtaceae,0.002013
Ga,Phyllanthaceae,0.00565
Ga,Poaceae,5.3640043
Ga,Proteaceae,0.000475
Ga,Rhamnaceae,0.015050000000000001
Ga,Rosaceae,0.344
Ga,Rutaceae,0.00229
Ga,Solanaceae,0.06998
Ga,Theaceae,0.033954000000000005
Ga,Unknown,12.59015
Ga,Zingiberaceae,0.00799
Gd,Amaranthaceae,0.15589999999999998
Gd,Amaryllidaceae,0.0032
Gd,Anacardiaceae,0.02184
Gd,Arecaceae,0.00252
Gd,Asteraceae,1.813
Gd,Brassicaceae,1.00112
Gd,Caricaceae,0.05474
Gd,Convolvulaceae,2.291922
Gd,Cucurbitaceae,2.2711
Gd,Cyperaceae,4393.0
Gd,Dioscoreaceae,0.00957
Gd,Euphorbiaceae,1.259569
Gd,Fabaceae,1.72189
Gd,Gleicheniaceae,4740.0
Gd,Malvaceae,2.5605
Gd,Melastomataceae,130.0
Gd,Moringaceae,0.9936
Gd,Musaceae,0.003229
Gd,Myrtaceae,0.00914
Gd,Phyllanthaceae,0.0051600000000000005
Gd,Poaceae,7.5652092
Gd,Rhamnaceae,0.0086
Gd,Rosaceae,0.36
Gd,Rutaceae,0.00317
Gd,Solanaceae,0.06591999999999999
Gd,Unknown,10.15555
Ge,Fabaceae,0.0252
Ge,Poaceae,0.1519
Ge,Solanaceae,0.04819999999999999
Ge,Various,2.3195
Hf,Agaricaceae,0.0056500000000000005
Hf,Amaranthaceae,0.01514
Hf,Amaryllidaceae,0.00011
Hf,Anacardiaceae,0.0016349
Hf,Arecaceae,0.00019
Hf,Asteraceae,0.034684
Hf,Brassicaceae,0.053044
Hf,Caricaceae,0.0028513
Hf,Convolvulaceae,0.047955
Hf,Cucurbitaceae,0.092101
Hf,Dioscoreaceae,0.000191
Hf,Euphorbiaceae,0.067163
Hf,Fabaceae,0.12795531000000002
Hf,Malvaceae,0.05203
Hf,Moraceae,0.00239
Hf,Moringaceae,0.153537
Hf,Musaceae,0.0028406
Hf,Myrtaceae,0.0008979999999999999
Hf,Phyllanthaceae,0.000336
Hf,Plantaginaceae,1.32
Hf,Poaceae,1.2935588
Hf,Proteaceae,0.000236
Hf,Rhamnaceae,0.000465
Hf,Rosaceae,0.00449
Hf,Rutaceae,0.000255
Hf,Solanaceae,0.0046689999999999995
Hf,Theaceae,0.00164
Hf,Unknown,0.633147
Hf,Various,5.8767000000000005
Hg,Amaranthaceae,6.04
Hg,Amaryllidaceae,0.10833
Hg,Annonaceae,0.00075
Hg,Apiaceae,0.24224
Hg,Apocynaceae,0.02105
Hg,Arecaceae,0.00056
Hg,Asteraceae,0.0021
Hg,Bignoniaceae,0.5939099999999999
Hg,Brassicaceae,0.22725
Hg,Combretaceae,0.04
Hg,Convolvulaceae,0.065
Hg,Cucurbitaceae,0.17522
Hg,Cyperaceae,2.8972
Hg,Euphorbiaceae,9.9819
Hg,Fabaceae,0.9315
Hg,Hylocomiaceae,0.051
Hg,Lamiaceae,0.3989
Hg,Lythraceae,0.025
Hg,Malvaceae,0.80242
Hg,Marantaceae,6.790159999999999
Hg,Melastomataceae,0.5685
Hg,Moraceae,0.0012300000000000002
Hg,Muntingiaceae,0.2689
Hg,Myrtaceae,1.71509
Hg,Nitrariaceae,0.003
Hg,Onagraceae,0.2905
Hg,Pedaliaceae,0.00026
Hg,Phyllanthaceae,0.39690000000000003
Hg,Piperaceae,5.9196
Hg,Poaceae,10.52046
Hg,Polypodiaceae,1.7849
Hg,Pteridaceae,0.5167999999999999
Hg,Ranunculaceae,0.00029
Hg,Rhamnaceae,0.00042
Hg,Rutaceae,0.00022
Hg,Salvadoraceae,0.00023
Hg,Solanaceae,0.76226
Hg,Theaceae,0.0006
Hg,Unknown,0.064
Hg,Urticaceae,0.36283
Hg,Various,2.608
Hg,Verbenaceae,0.0018499999999999999
Hg,Zygophyllaceae,0.00021
Ho,Agaricaceae,0.01471
Ho,Amaranthaceae,0.03364
Ho,Amaryllidaceae,0.000529
Ho,Anacardiaceae,0.003143
Ho,Arecaceae,0.000308
Ho,Asteraceae,0.1437905
Ho,Brassicaceae,0.11274
Ho,Caricaceae,0.007249
Ho,Convolvulaceae,0.305044
Ho,Cucurbitaceae,0.33539
Ho,Dioscoreaceae,8.44e-05
Ho,Euphorbiaceae,0.171446
Ho,Fabaceae,0.2489225
Ho,Malvaceae,0.486975
Ho,Moraceae,0.00834
Ho,Moringaceae,0.13933
Ho,Musaceae,0.0004065
Ho,Myrtaceae,0.001855
Ho,Phyllanthaceae,0.000692
Ho,Poaceae,0.4076398
Ho,Proteaceae,2.08e-05
Ho,Rhamnaceae,0.0009629999999999999
Ho,Rosaceae,0.0394
Ho,Rutaceae,0.000437
Ho,Solanaceae,0.009826
Ho,Theaceae,0.0694
Ho,Unknown,1.359364
Ho,Zingiberaceae,0.00033
I,Betulaceae,0.41
I,Cupressaceae,0.37
I,Dennstaedtiaceae,0.87
I,Fabaceae,2.8899999999999997
I,Fagaceae,1.88
I,Pinaceae,1.22
I,Poaceae,10.1035
I,Rosaceae,0.46
I,Sapindaceae,1.05
I,Unknown,0.51
In,Various,0.7617999999999999
K,Acanthaceae,81664.6134
K,Achariaceae,4513.0
K,Agaricaceae,207560.0
K,Amaranthaceae,532527.9
K,Amaryllidaceae,57100.0
K,Anacardiaceae,242187.0
K,Annonaceae,4354.0
K,Apiaceae,241740.4
K,Apocynaceae,25075.1
K,Aquifoliaceae,51600.0
K,Araceae,24000.0
K,Araliaceae,129760.0
K,Arecaceae,56003.0
K,Asparagaceae,87379.3
K,Asphodelaceae,1089.0
K,Asteraceae,1074356.06
K,Athyriaceae,23700.0
K,Basellaceae,168.5
K,Berberidaceae,900.0
K,Bignoniaceae,74870.0
K,Boraginaceae,2540.0
K,Brassicaceae,1180943.5
K,Bromeliaceae,40560.0
K,Cactaceae,101470.0
K,Cannabaceae,18910.0
K,Capparaceae,23394.0
K,Caricaceae,146700.0
K,Caryophyllaceae,47650.0
K,Chrysobalanaceae,2233.0
K,Cistaceae,14500.0
K,Clusiaceae,8540.0
K,Combretaceae,12700.0
K,Commelinaceae,3900.0
K,Convolvulaceae,431570.0
K,Cucurbitaceae,965302.4
K,Cunoniaceae,14000.0
K,Cyatheaceae,117800.0
K,Dennstaedtiaceae,2947.0
K,Dioscoreaceae,67600.0
K,Ebenaceae,1940.0
K,Elaeagnaceae,9100.0
K,Elaeocarpaceae,10100.0
K,Ephedraceae,8550.0
K,Equisetaceae,12860.0
K,Ericaceae,78150.0
K,Euphorbiaceae,667660.0
K,Fabaceae,3324263.124
K,Fagaceae,5259.0
K,Gleicheniaceae,56400.0
K,Hydnoraceae,15451.0
K,Juglandaceae,31160.0
K,Lamiaceae,766099.1836
K,Lauraceae,74537.3
K,Lecythidaceae,49452.0
K,Loganiaceae,7692.0
K,Lythraceae,1500.0
K,Malvaceae,656434.1
K,Melastomataceae,2388.0
K,Meliaceae,129430.0
K,Moraceae,22516.0
K,Moringaceae,500500.0
K,Musaceae,76230.0
K,Myrtaceae,168630.0
K,Olacaceae,8429.0
K,Oleaceae,49930.0
K,Ophioglossaceae,8170.0
K,Orchidaceae,2384.0
K,Oxalidaceae,10100.0
K,Papaveraceae,14962.6
K,Passifloraceae,14652.0
K,Pedaliaceae,5080.0
K,Phyllanthaceae,64150.0
K,Pinaceae,54200.0
K,Piperaceae,5739.0
K,Plantaginaceae,9600.0
K,Poaceae,4594815.44
K,Polygonaceae,21566.0
K,Primulaceae,57289.3
K,Proteaceae,5610.0
K,Ranunculaceae,22645.3
K,Rhamnaceae,26657.0
K,Rosaceae,71796.9
K,Rubiaceae,104956.0
K,Rutaceae,50230.0
K,Salicaceae,79570.0
K,Santalaceae,100580.0
K,Sapindaceae,122729.74
K,Sapotaceae,20220.0
K,Scrophulariaceae,40100.0
K,Smilacaceae,3000.0
K,Solanaceae,899880.4771
K,Tamaricaceae,677.0
K,Theaceae,35000.0
K,Unknown,525380.0
K,Urticaceae,18700.0
K,Various,2052813.77
K,Verbenaceae,1370.0
K,Violaceae,14100.0
K,Zingiberaceae,92199.0
K,Zygophyllaceae,6745.36
La,Agaricaceae,2.825
La,Amaranthaceae,16.659
La,Amaryllidaceae,0.1085
La,Anacardiaceae,0.38911
La,Apiaceae,0.243
La,Arecaceae,0.0312
La,Asteraceae,24.90553
La,Blechnaceae,297.9
La,Brassicaceae,18.3367
La,Caricaceae,0.3627
La,Convolvulaceae,27.373639999999998
La,Cucurbitaceae,61.7979
La,Cyperaceae,5514.0
La,Dioscoreaceae,0.036430000000000004
La,Ericaceae,4.79
La,Euphorbiaceae,17.50969
La,Fabaceae,15.908
La,Gleicheniaceae,6488.0
La,Lauraceae,0.20279999999999998
La,Lecythidaceae,0.0367
La,Malvaceae,33.5338
La,Melastomataceae,160.0
La,Moraceae,0.215
La,Moringaceae,11.24536
La,Musaceae,0.03712
La,Myrtaceae,0.0354
La,Pedaliaceae,0.0589
La,Phyllanthaceae,0.1087
La,Pinaceae,2.053
La,Plantaginaceae,2.7
La,Poaceae,53.6318062
La,Polypodiaceae,72.6
La,Proteaceae,0.00176
La,Pteridaceae,163.8
La,Rhamnaceae,0.0605
La,Rosaceae,2.48
La,Rutaceae,0.0374
La,Solanaceae,0.71108
La,Theaceae,1.045
La,Thelypteridaceae,123.2
La,Unknown,89.0096
La,Various,34.1586
La,Zingiberaceae,0.0135
Li,Agaricaceae,17.342999999999996
Li,Amaranthaceae,10.9329
Li,Amaryllidaceae,1.2524
Li,Anacardiaceae,23.6366
Li,Apiaceae,6.4714
Li,Arecaceae,1.26
Li,Asteraceae,23.48596
Li,Brassicaceae,9.4842
Li,Capparaceae,0.53
Li,Caricaceae,11.0716
Li,Convolvulaceae,8.2306
Li,Cucurbitaceae,16.9088
Li,Dioscoreaceae,0.6982
Li,Ephedraceae,2.01
Li,Euphorbiaceae,9.9776
Li,Fabaceae,25.235896
Li,Fagaceae,0.08
Li,Lamiaceae,32.86
Li,Lauraceae,0.5142
Li,Lecythidaceae,0.0284
Li,Malvaceae,7.649
Li,Moraceae,0.207
Li,Moringaceae,24.33269
Li,Musaceae,0.3871
Li,Myrtaceae,0.951
Li,Orchidaceae,0.11
Li,Papaveraceae,6.89
Li,Pedaliaceae,0.0227
Li,Phyllanthaceae,1.4733
Li,Poaceae,46.8782211
Li,Proteaceae,0.21
Li,Ranunculaceae,0.47
Li,Rhamnaceae,0.0828
Li,Rosaceae,1.26
Li,Rutaceae,1.04
Li,Solanaceae,47.50901
Li,Theaceae,0.202
Li,Unknown,16.6989
Li,Zingiberaceae,0.0678
Li,Zygophyllaceae,8.0
Lu,Agaricaceae,0.00355
Lu,Amaranthaceae,0.00902
Lu,Amaryllidaceae,0.000181
Lu,Anacardiaceae,0.0007624999999999999
Lu,Arecaceae,0.000158
Lu,Asteraceae,0.0307599
Lu,Blechnaceae,6.79
Lu,Brassicaceae,0.02769
Lu,Caricaceae,0.0018255
Lu,Convolvulaceae,0.074139
Lu,Cucurbitaceae,0.104755
Lu,Dioscoreaceae,8.88e-05
Lu,Ericaceae,0.372
Lu,Euphorbiaceae,0.057387
Lu,Fabaceae,0.07590028
Lu,Gleicheniaceae,22.45
Lu,Malvaceae,0.1207349
Lu,Moraceae,0.00206
Lu,Moringaceae,0.041832
Lu,Musaceae,0.00040280000000000003
Lu,Myrtaceae,0.0003353
Lu,Phyllanthaceae,0.00017779999999999998
Lu,Pinaceae,0.225
Lu,Poaceae,1.5272682340000001
Lu,Polypodiaceae,4.71
Lu,Proteaceae,3.7e-05
Lu,Pteridaceae,9.24
Lu,Rhamnaceae,0.0002142
Lu,Rosaceae,0.0115
Lu,Rutaceae,6.38e-05
Lu,Solanaceae,0.0030793
Lu,Theaceae,0.028560000000000002
Lu,Thelypteridaceae,7.76
Lu,Unknown,0.451338
Lu,Zingiberaceae,7.81e-05
Mg,Acanthaceae,75371.8875
Mg,Achariaceae,12535.0
Mg,Agaricaceae,9987.0
Mg,Amaranthaceae,145105.9
Mg,Amaryllidaceae,5196.0
Mg,Anacardiaceae,32020.0
Mg,Anisophylleaceae,107.0
Mg,Annonaceae,288.0
Mg,Apiaceae,62648.6
Mg,Apocynaceae,8682.5
Mg,Aquifoliaceae,21000.0
Mg,Araceae,6210.0
Mg,Araliaceae,24790.0
Mg,Arecaceae,9727.0
Mg,Asparagaceae,2686.7
Mg,Asphodelaceae,264.0
Mg,Asteraceae,147251.52
Mg,Athyriaceae,5050.0
Mg,Basellaceae,275.1
Mg,Berberidaceae,2350.0
Mg,Bignoniaceae,6328.0
Mg,Boraginaceae,12170.0
Mg,Brassicaceae,103601.0
Mg,Bromeliaceae,1200.0
Mg,Burseraceae,75.2
Mg,Cactaceae,6390.0
Mg,Cannabaceae,6900.0
Mg,Capparaceae,4390.0
Mg,Caricaceae,15460.0
Mg,Caryophyllaceae,33410.0
Mg,Chrysobalanaceae,267.0
Mg,Cistaceae,2300.0
Mg,Clusiaceae,6252.0
Mg,Combretaceae,4995.0
Mg,Commelinaceae,2208.0
Mg,Convolvulaceae,57340.0
Mg,Cucurbitaceae,206046.5
Mg,Cunoniaceae,18500.0
Mg,Cyatheaceae,19200.0
Mg,Dennstaedtiaceae,197.0
Mg,Dioscoreaceae,4679.0
Mg,Ebenaceae,5430.0
Mg,Elaeagnaceae,8520.0
Mg,Elaeocarpaceae,3530.0
Mg,Ephedraceae,3949.0
Mg,Equisetaceae,2280.0
Mg,Ericaceae,19840.0
Mg,Euphorbiaceae,118131.0
Mg,Fabaceae,654490.49
Mg,Fagaceae,7346.0
Mg,Gleicheniaceae,5600.0
Mg,Juglandaceae,850.0
Mg,Lamiaceae,112227.6294
Mg,Lauraceae,10405.0
Mg,Lecythidaceae,15949.0
Mg,Loganiaceae,649.0
Mg,Lythraceae,5730.0
Mg,Malvaceae,112124.9
Mg,Melastomataceae,1167.0
Mg,Meliaceae,14670.0
Mg,Monimiaceae,22800.0
Mg,Moraceae,3702.0
Mg,Moringaceae,131560.0
Mg,Musaceae,9741.0
Mg,Myrtaceae,39214.0
Mg,Nitrariaceae,2955.0
Mg,Olacaceae,2262.0
Mg,Oleaceae,3620.0
Mg,Ophioglossaceae,5380.0
Mg,Orchidaceae,1210.0
Mg,Oxalidaceae,3200.0
Mg,Papaveraceae,12502.84
Mg,Passifloraceae,5192.0
Mg,Pedaliaceae,7510.0
Mg,Phyllanthaceae,36455.0
Mg,Pinaceae,13350.0
Mg,Piperaceae,1203.0
Mg,Poaceae,746786.77
Mg,Polygonaceae,4508.0
Mg,Primulaceae,23397.0
Mg,Proteaceae,10100.0
Mg,Ranunculaceae,7952.3
Mg,Rhamnaceae,10087.0
Mg,Rosaceae,21201.0
Mg,Rubiaceae,61380.0
Mg,Rutaceae,22303.0
Mg,Salicaceae,61880.0
Mg,Salvadoraceae,614.0
Mg,Santalaceae,2290.0
Mg,Sapindaceae,19800.0
Mg,Sapotaceae,19770.0
Mg,Scrophulariaceae,2860.0
Mg,Smilacaceae,2268.0
Mg,Solanaceae,70970.8061
Mg,Theaceae,4760.0
Mg,Unknown,141180.0
Mg,Urticaceae,4150.0
Mg,Various,388459.027
Mg,Verbenaceae,3710.0
Mg,Violaceae,50600.0
Mg,Zingiberaceae,12448.0
Mg,Zygophyllaceae,8258.0
Mn,Acanthaceae,3.9299999999999997
Mn,Achariaceae,17.5
Mn,Agaricaceae,86.60000000000001
Mn,Amaranthaceae,8811.88
Mn,Amaryllidaceae,289.17
Mn,Anacardiaceae,747.2900000000001
Mn,Anisophylleaceae,12.8
Mn,Annonaceae,4.2
Mn,Apiaceae,1726.6699999999998
Mn,Apocynaceae,281.6
Mn,Aquifoliaceae,13400.0
Mn,Arecaceae,319.5
Mn,Asparagaceae,25.6
Mn,Asphodelaceae,5.3
Mn,Asteraceae,3412.83
Mn,Basellaceae,25.4
Mn,Bignoniaceae,7.0
Mn,Bixaceae,30.5
Mn,Brassicaceae,3712.21
Mn,Burseraceae,2.6
Mn,Capparaceae,15.43
Mn,Caricaceae,43.470000000000006
Mn,Caryophyllaceae,776.0
Mn,Chrysobalanaceae,2.1
Mn,Cistaceae,37.0
Mn,Clusiaceae,1791.8
Mn,Combretaceae,517.5
Mn,Commelinaceae,79.8
Mn,Convolvulaceae,3524.94
Mn,Cucurbitaceae,2837.62
Mn,Cunoniaceae,990.0
Mn,Cyperaceae,187.0
Mn,Dennstaedtiaceae,2.4
Mn,Dioscoreaceae,229.12
Mn,Ephedraceae,41.5
Mn,Ericaceae,74688.0
Mn,Euphorbiaceae,4404.025
Mn,Fabaceae,26159.68
Mn,Fagaceae,1.6800000000000002
Mn,Gnetaceae,200.0
Mn,Hydnoraceae,0.57
Mn,Hylocomiaceae,113.0
Mn,Lamiaceae,2172.1
Mn,Lauraceae,118.4
Mn,Lecythidaceae,266.4
Mn,Loganiaceae,25.1
Mn,Lythraceae,62.800000000000004
Mn,Malvaceae,6504.04
Mn,Melastomataceae,50.4
Mn,Meliaceae,93.0
Mn,Moraceae,77.1
Mn,Moringaceae,1865.35
Mn,Musaceae,306.59000000000003
Mn,Myrtaceae,559.55
Mn,Nitrariaceae,44.1
Mn,Olacaceae,53.9
Mn,Ophioglossaceae,31.7
Mn,Orchidaceae,4.85
Mn,Oxalidaceae,247.0
Mn,Papaveraceae,224.1
Mn,Passifloraceae,5.3
Mn,Pedaliaceae,40.5
Mn,Phyllanthaceae,40683.18
Mn,Pinaceae,3368.5
Mn,Piperaceae,24.98
Mn,Poaceae,13768.523
Mn,Polygonaceae,5.1
Mn,Portulacaceae,1.1700000000000002
Mn,Primulaceae,11515.6
Mn,Proteaceae,6722.5
Mn,Ranunculaceae,110.1
Mn,Rhamnaceae,37.86
